NoEssai,NoBloc,NoTraitement,test_type,NtotDose,PtotDose,KtotDose,NsemisDose,NfracDose,LatDD,LonDD,Annee,DatePlantation,DOYplantation,DateRecolte,DOYrecolte,DensitePlants,Long_SC,PrecCropFiveClasses,Cultivar,Maturity5,pHactifMethode,pH1dans1,MOouCtot,MOsol,ExtractifMethode,CaSol,MgSol,Ksol,Bsol,CuSol,ZnSol,FeSol,MnSol,AlSol,AlSolTabi,Psol,Texture,ArgileMesure,SableMesure,SerieSol,SableCentroid,LimonCentroid,ArgileCentroid,m.3a,m.3b,m.3c,RendGros,RendMoy,RendPetit,RendRejet,RendVendable,PoidsSpec
1,1,1,N,0,190,270,0,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,3.5861,11.4123,3.9458,NA,18.9442,1.074
1,1,2,N,70,190,270,70,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,17.876,17.5599,4.9159,NA,40.3518,1.076
1,1,3,N,100,190,270,100,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,13.0364,13.6795,6.322,NA,33.0379,1.083
1,1,4,N,130,190,270,130,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,17.658,16.241,3.6515,NA,37.5505,1.08
1,1,5,N,160,190,270,160,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,22.345,18.9987,4.6652,NA,46.0089,1.08
1,1,6,N,190,190,270,160,30,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,19.0859,17.1566,4.7742,NA,41.0167,1.078
1,1,7,N,220,190,270,160,60,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,20.601,22.2142,3.9785,NA,46.7937,1.074
1,1,8,N,250,190,270,160,90,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.062,MO,3.54,Mehlich 3,586.7158672,59.37604831,99.53035894,NA,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,NA,20.98738007,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,28.8959,13.0582,5.0576,NA,47.0117,1.076
1,2,1,N,0,190,270,0,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.166,MO,3.54,Mehlich 3,986.1722187,67.88183532,264.6448774,NA,1.697045883,4.619736015,179.132621,7.919547454,1840.163419,NA,15.90806474,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,2.3326,8.6001,4.1856,NA,15.1183,1.08
1,2,2,N,70,190,270,70,0,46.753056,-72.338611,2003,2003-05-19,139,2003-09-17,260,31226,122,Cereal,Goldrush,mid-season,CaCl2,5.166,MO,3.54,Mehlich 3,986.1722187,67.88183532,264.6448774,NA,1.697045883,4.619736015,179.132621,7.919547454,1840.163419,NA,15.90806474,Sable loameux,1.6,73.2,Pontiac,82.5,12.1,5.4,0.632753174,0.219231704,0.148015122,10.8019,19.2167,6.2457,NA,36.2643,1.077
